Date,España,Italia,Turquia
2021-02-22 00:00:00+00:00,3153971.0,2818863.0,2646526
2021-02-23 00:00:00+00:00,3161432.0,2832162.0,2655633
2021-02-24 00:00:00+00:00,3170644.0,2848564.0,2665194
2021-02-25 00:00:00+00:00,3180212.0,2868435.0,2674766
2021-02-26 00:00:00+00:00,3188553.0,2888923.0,2683971
2021-02-27 00:00:00+00:00,3188553.0,2907825.0,2693164
2021-02-28 00:00:00+00:00,3188553.0,2925265.0,2701588
2021-03-01 00:00:00+00:00,3204531.0,2938371.0,2711479
2021-03-02 00:00:00+00:00,3130184.0,2955434.0,2723316
2021-03-03 00:00:00+00:00,3136321.0,2976274.0,2734836
2021-03-04 00:00:00+00:00,3142358.0,2999119.0,2746158
2021-03-05 00:00:00+00:00,3149012.0,3023129.0,2757460
2021-03-06 00:00:00+00:00,3149012.0,3046762.0,2769230
2021-03-07 00:00:00+00:00,3149012.0,3067486.0,2780417
2021-03-08 00:00:00+00:00,3160970.0,3081368.0,2793632
2021-03-09 00:00:00+00:00,3164982.0,3101093.0,2807387
2021-03-10 00:00:00+00:00,3172101.0,3123368.0,2821943
2021-03-11 00:00:00+00:00,3178356.0,3149017.0,2835989
2021-03-12 00:00:00+00:00,3183704.0,3175807.0,2850930
2021-03-13 00:00:00+00:00,3183704.0,3201838.0,2866012
2021-03-14 00:00:00+00:00,3183704.0,3223142.0,2879390
2021-03-15 00:00:00+00:00,3195062.0,3238394.0,2894893
2021-03-16 00:00:00+00:00,3200024.0,3258770.0,2911642
2021-03-17 00:00:00+00:00,3206116.0,3281810.0,2930554
2021-03-18 00:00:00+00:00,3212332.0,3306711.0,2950603
2021-03-19 00:00:00+00:00,3212332.0,3332418.0,2971633
2021-03-20 00:00:00+00:00,3212332.0,3356331.0,2992694
2021-03-21 00:00:00+00:00,3212332.0,3376376.0,3013122
2021-03-22 00:00:00+00:00,3228803.0,3400877.0,3035338
2021-03-23 00:00:00+00:00,3234319.0,3419616.0,3061520
2021-03-24 00:00:00+00:00,3234319.0,3440862.0,3091282
2021-03-25 00:00:00+00:00,3247738.0,3464543.0,3120013
2021-03-26 00:00:00+00:00,3255324.0,3488619.0,3149094
2021-03-27 00:00:00+00:00,3255324.0,3512453.0,3179115
2021-03-28 00:00:00+00:00,3255324.0,3532057.0,3208173
2021-03-29 00:00:00+00:00,3270825.0,3544957.0,3240577
